"","gene_name","mse_ratio"
"226","ENSG00000170027",5.6446296821079
"227","ENSG00000188603",5.63813077505516
"228","ENSG00000117523",5.63675488238264
"229","ENSG00000100991",5.62667533014298
"230","ENSG00000129158",5.61398130397987
"231","ENSG00000184432",5.61381108742042
"232","ENSG00000144134",5.57508103611897
"233","ENSG00000172009",5.56952206758685
"234","ENSG00000139746",5.55969676002225
"235","ENSG00000187239",5.55820393535484
"236","ENSG00000163162",5.55626864007756
"237","ENSG00000130158",5.53973735901208
"238","ENSG00000122035",5.52366342682952
"239","ENSG00000140632",5.51456390517719
"240","ENSG00000168765",5.51234716645464
"241","ENSG00000166780",5.5082612494038
"242","ENSG00000177374",5.4902784508127
"243","ENSG00000197361",5.47828784960445
"244","ENSG00000160410",5.47681106766839
"245","ENSG00000168936",5.47344232672271
"246","ENSG00000197461",5.40792367662929
"247","ENSG00000011105",5.4035798227369
"248","ENSG00000112473",5.39249795967712
"249","ENSG00000106245",5.3843550670835
"250","ENSG00000100425",5.36818461206255
"251","ENSG00000090905",5.36786306544814
"252","ENSG00000089335",5.3657795948484
"253","ENSG00000066654",5.36559929029103
"254","ENSG00000139211",5.36250911220094
"255","ENSG00000123143",5.35670709049601
"256","ENSG00000157045",5.35524276372256
"257","ENSG00000108468",5.35440833234307
"258","ENSG00000132153",5.34986944633069
"259","ENSG00000278970",5.30989824000072
"260","ENSG00000162236",5.30864677110171
"261","ENSG00000088256",5.30430417054645
"262","ENSG00000071859",5.30119731334796
"263","ENSG00000110455",5.28947189641042
"264","ENSG00000136758",5.28664162108158
"265","ENSG00000147416",5.28401733916586
"266","ENSG00000182195",5.27628647736003
"267","ENSG00000124104",5.27448930983156
"268","ENSG00000105953",5.27252852334297
"269","ENSG00000173786",5.26338057982069
"270","ENSG00000163527",5.25391999190354
"271","ENSG00000107745",5.24698993473841
"272","ENSG00000174373",5.24646834594382
"273","ENSG00000196655",5.23890598529801
"274","ENSG00000154930",5.23505314507196
"275","ENSG00000184381",5.22768150302217
"276","ENSG00000091483",5.20404579743085
"277","ENSG00000114982",5.16711395904272
"278","ENSG00000115091",5.16097129287863
"279","ENSG00000042062",5.12937117161402
"280","ENSG00000148334",5.12641116838656
"281","ENSG00000124212",5.12168956654417
"282","ENSG00000107186",5.11441644301565
"283","ENSG00000277258",5.1041490151717
"284","ENSG00000047410",5.10254411225381
"285","ENSG00000128928",5.08212170335002
"286","ENSG00000161381",5.06970820765947
"287","ENSG00000144749",5.0628849970988
"288","ENSG00000091542",5.06087357554862
"289","ENSG00000244560",5.04930399120335
"290","ENSG00000078061",5.03868945478977
"291","ENSG00000132591",5.03641385496672
"292","ENSG00000005379",5.03378646340173
"293","ENSG00000136718",5.02856281464106
"294","ENSG00000112977",5.01975550423715
"295","ENSG00000236287",5.0159286653695
"296","ENSG00000164104",5.01205916782078
"297","ENSG00000163875",5.01032674012547
"298","ENSG00000148516",5.0071652248744
"299","ENSG00000203485",5.00537963771912
"300","ENSG00000130159",4.99762828306529
"301","ENSG00000225921",4.990336076128
"302","ENSG00000169599",4.98592465885854
"303","ENSG00000124440",4.97825030707115
"304","ENSG00000164062",4.97560189077983
"305","ENSG00000090554",4.96854624167088
"306","ENSG00000124074",4.95240488135643
"307","ENSG00000141380",4.94701603596164
"308","ENSG00000149483",4.94423805196728
"309","ENSG00000162368",4.94119651227458
"310","ENSG00000175727",4.93958362493512
"311","ENSG00000215041",4.93282679352331
"312","ENSG00000197451",4.92184873837875
"313","ENSG00000114316",4.91956959145602
"314","ENSG00000241404",4.91877320922116
"315","ENSG00000107104",4.91735862148884
"316","ENSG00000066322",4.90627466576984
"317","ENSG00000164985",4.90542545674256
"318","ENSG00000160753",4.90405438797743
"319","ENSG00000163444",4.90240977396784
"320","ENSG00000105538",4.897449382177
"321","ENSG00000174460",4.8955984383319
"322","ENSG00000012983",4.89152384621617
"323","ENSG00000173848",4.88978541357635
"324","ENSG00000032444",4.88699208156505
"325","ENSG00000132535",4.86795139310354
"326","ENSG00000138071",4.86429574294394
"327","ENSG00000123066",4.83082576974757
"328","ENSG00000184436",4.81665668613011
"329","ENSG00000142634",4.81257038106337
"330","ENSG00000131471",4.81121359282489
"331","ENSG00000196329",4.79890100281311
"332","ENSG00000102796",4.7971820905062
"333","ENSG00000183891",4.79693533924002
"334","ENSG00000167074",4.78611625991995
"335","ENSG00000124541",4.78509302115775
